景点名称	频数	景点名称	频数	共现频数	MAXC	MINC	景点名称	景点名称	共现频数	MAXC	MINC
天安门广场	1345	长安街	1388	1043	0.775464684	0.751440922	Tiananmen Square Tiananmen Guangchang	Chang an Street	1043	0.775464684	0.751440922
故宫	1155	天安门广场	1345	800	0.692640693	0.594795539	The Palace Museum	Tiananmen Square Tiananmen Guangchang	800	0.692640693	0.594795539
故宫	1155	长安街	1388	742	0.642424242	0.534582133	The Palace Museum	Chang an Street	742	0.642424242	0.534582133
天坛	1115	天安门广场	1345	513	0.460089686	0.381412639	Temple of Heaven Tiantan Park	Tiananmen Square Tiananmen Guangchang	513	0.460089686	0.381412639
天坛	1115	长安街	1388	496	0.444843049	0.357348703	Temple of Heaven Tiantan Park	Chang an Street	496	0.444843049	0.357348703
天坛	1115	故宫	1155	367	0.329147982	0.317748918	Temple of Heaven Tiantan Park	The Palace Museum	367	0.329147982	0.317748918
北京大学	1023	长安街	1388	240	0.234604106	0.172910663	Peking University Beijing Da Xue	Chang an Street	240	0.234604106	0.172910663
北京大学	1023	天安门广场	1345	204	0.19941349	0.151672862	Peking University Beijing Da Xue	Tiananmen Square Tiananmen Guangchang	204	0.19941349	0.151672862
北京大学	1023	天坛	1115	171	0.167155425	0.153363229	Peking University Beijing Da Xue	Temple of Heaven Tiantan Park	171	0.167155425	0.153363229
北京大学	1023	故宫	1155	171	0.167155425	0.148051948	Peking University Beijing Da Xue	The Palace Museum	171	0.167155425	0.148051948
颐和园	926	北京大学	1023	631	0.681425486	0.616813294	Summer Palace Yiheyuan	Peking University Beijing Da Xue	631	0.681425486	0.616813294
颐和园	926	长安街	1388	127	0.137149028	0.091498559	Summer Palace Yiheyuan	Chang an Street	127	0.137149028	0.091498559
颐和园	926	天坛	1115	123	0.132829374	0.110313901	Summer Palace Yiheyuan	Temple of Heaven Tiantan Park	123	0.132829374	0.110313901
颐和园	926	天安门广场	1345	106	0.114470842	0.078810409	Summer Palace Yiheyuan	Tiananmen Square Tiananmen Guangchang	106	0.114470842	0.078810409
颐和园	926	故宫	1155	92	0.099352052	0.07965368	Summer Palace Yiheyuan	The Palace Museum	92	0.099352052	0.07965368
王府井	897	长安街	1388	576	0.642140468	0.414985591	Wangfujing Main Streeet	Chang an Street	576	0.642140468	0.414985591
王府井	897	天安门广场	1345	460	0.512820513	0.342007435	Wangfujing Main Streeet	Tiananmen Square Tiananmen Guangchang	460	0.512820513	0.342007435
王府井	897	故宫	1155	417	0.464882943	0.361038961	Wangfujing Main Streeet	The Palace Museum	417	0.464882943	0.361038961
王府井	897	天坛	1115	281	0.313266444	0.252017937	Wangfujing Main Streeet	Temple of Heaven Tiantan Park	281	0.313266444	0.252017937
王府井	897	北京大学	1023	184	0.205128205	0.179863148	Wangfujing Main Streeet	Peking University Beijing Da Xue	184	0.205128205	0.179863148
王府井	897	颐和园	926	118	0.13154961	0.127429806	Wangfujing Main Streeet	Summer Palace Yiheyuan	118	0.13154961	0.127429806
天安门	896	天安门广场	1345	660	0.736607143	0.49070632	Gate of Heavenly Peace Tian an Men	Tiananmen Square Tiananmen Guangchang	660	0.736607143	0.49070632
天安门	896	长安街	1388	587	0.655133929	0.422910663	Gate of Heavenly Peace Tian an Men	Chang an Street	587	0.655133929	0.422910663
天安门	896	故宫	1155	581	0.6484375	0.503030303	Gate of Heavenly Peace Tian an Men	The Palace Museum	581	0.6484375	0.503030303
天安门	896	天坛	1115	303	0.338169643	0.271748879	Gate of Heavenly Peace Tian an Men	Temple of Heaven Tiantan Park	303	0.338169643	0.271748879
天安门	896	王府井	897	299	0.333705357	0.333333333	Gate of Heavenly Peace Tian an Men	Wangfujing Main Streeet	299	0.333705357	0.333333333
天安门	896	北京大学	1023	114	0.127232143	0.11143695	Gate of Heavenly Peace Tian an Men	Peking University Beijing Da Xue	114	0.127232143	0.11143695
天安门	896	颐和园	926	64	0.071428571	0.069114471	Gate of Heavenly Peace Tian an Men	Summer Palace Yiheyuan	64	0.071428571	0.069114471
南锣鼓巷	867	故宫	1155	285	0.328719723	0.246753247	Nanluoguxiang	The Palace Museum	285	0.328719723	0.246753247
南锣鼓巷	867	长安街	1388	247	0.284890427	0.17795389	Nanluoguxiang	Chang an Street	247	0.284890427	0.17795389
南锣鼓巷	867	天安门广场	1345	240	0.276816609	0.178438662	Nanluoguxiang	Tiananmen Square Tiananmen Guangchang	240	0.276816609	0.178438662
南锣鼓巷	867	天安门	896	196	0.226066897	0.21875	Nanluoguxiang	Gate of Heavenly Peace Tian an Men	196	0.226066897	0.21875
南锣鼓巷	867	天坛	1115	159	0.183391003	0.142600897	Nanluoguxiang	Temple of Heaven Tiantan Park	159	0.183391003	0.142600897
南锣鼓巷	867	王府井	897	153	0.176470588	0.170568562	Nanluoguxiang	Wangfujing Main Streeet	153	0.176470588	0.170568562
南锣鼓巷	867	北京大学	1023	112	0.129181084	0.109481916	Nanluoguxiang	Peking University Beijing Da Xue	112	0.129181084	0.109481916
南锣鼓巷	867	颐和园	926	82	0.094579008	0.088552916	Nanluoguxiang	Summer Palace Yiheyuan	82	0.094579008	0.088552916
什刹海	863	南锣鼓巷	867	472	0.546929316	0.544405998	Shichahai Scenic Resort	Nanluoguxiang	472	0.546929316	0.544405998
什刹海	863	故宫	1155	312	0.361529548	0.27012987	Shichahai Scenic Resort	The Palace Museum	312	0.361529548	0.27012987
什刹海	863	长安街	1388	263	0.304750869	0.189481268	Shichahai Scenic Resort	Chang an Street	263	0.304750869	0.189481268
什刹海	863	天安门广场	1345	255	0.295480881	0.189591078	Shichahai Scenic Resort	Tiananmen Square Tiananmen Guangchang	255	0.295480881	0.189591078
什刹海	863	天安门	896	216	0.250289687	0.241071429	Shichahai Scenic Resort	Gate of Heavenly Peace Tian an Men	216	0.250289687	0.241071429
什刹海	863	天坛	1115	165	0.191193511	0.147982063	Shichahai Scenic Resort	Temple of Heaven Tiantan Park	165	0.191193511	0.147982063
什刹海	863	王府井	897	147	0.170336037	0.163879599	Shichahai Scenic Resort	Wangfujing Main Streeet	147	0.170336037	0.163879599
什刹海	863	北京大学	1023	112	0.129779838	0.109481916	Shichahai Scenic Resort	Peking University Beijing Da Xue	112	0.129779838	0.109481916
什刹海	863	颐和园	926	82	0.095017381	0.088552916	Shichahai Scenic Resort	Summer Palace Yiheyuan	82	0.095017381	0.088552916
后海	809	什刹海	863	639	0.78986403	0.740440324	Back Lakes Hou Hai	Shichahai Scenic Resort	639	0.78986403	0.740440324
后海	809	南锣鼓巷	867	454	0.56118665	0.523644752	Back Lakes Hou Hai	Nanluoguxiang	454	0.56118665	0.523644752
后海	809	故宫	1155	314	0.388133498	0.271861472	Back Lakes Hou Hai	The Palace Museum	314	0.388133498	0.271861472
